"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"8436","10.50","+1.1","Giacomo ANGELI","24 MAR 1989","ITA","2f1","Stadio D'Atletica Bruno Betti, Firenze (ITA)","03 JUL 2021","1040","2021"
"8436","10.50","+1.6","Mitsuhiro NUMATA","22 FEB 2001","JPN","3sf1","Municipal Nishikyogoku Stadium, Kyoto (JPN)","17 JUL 2021","1040","2021"
"8436","10.50","+0.9","Yoshiaki KURIKAWA","25 DEC 2000","JPN","2h1","Wave Stadium, Kariya (JPN)","08 AUG 2021","1040","2021"
"8436","10.50","+1.4","Dariusz KOWALUK","16 APR 1996","POL","1","Stadion MOSiR, Lublin (POL)","03 SEP 2021","1040","2021"
"8436","10.50","-0.4","Davian CLARKE","29 JUL 2001","JAM","1f1","National Stadium, Kingston (JAM)","02 APR 2022","1042","2022"
"8436","10.50","-0.1","Jaelon BARBARIN","","USA","3","Arcadia HS Track, Arcadia, CA (USA)","09 APR 2022","1040","2022"
"8436","10.50","+1.9","Malcolm CROOM-MCFADDEN","","USA","1h10","Marcus T. Johnson Track, Greensboro, NC (USA)","23 APR 2022","1040","2022"
"8436","10.50","+1.0","Ryuki TOGASHI","12 APR 2004","JPN","1","Athletic Park, Ageo (JPN)","23 APR 2022","1040","2022"
"8436","10.50","-1.1","Jonah VIGIL","","USA","1h2","CSU - Neta and Eddie DeRose Thunderbowl, Pueblo, CO (USA)","29 APR 2022","1046","2022"
"8436","10.50","+1.5","Martin BILLINGS","","USA","1f2","Anteater Stadium, Irvine, CA (USA)","30 APR 2022","1040","2022"
"8436","10.50","+0.9","A. VIGNESH","04 JUL 1996","IND","1","Bengaluru (IND)","30 APR 2022","1040","2022"
"8436","10.50","+2.0","Shamar HORATIO","06 DEC 2003","GUY","3","Leonora (GUY)","30 APR 2022","1040","2022"
"8436","10.50","0.0","Stephon BROWN","","USA","1","Seth Grove Stadium, Shippensburg, PA (USA)","30 APR 2022","1040","2022"
"8436","10.50","+0.2","Braylen BREWER","","USA","2h1","Emporia St. Francis G. Welch Stadium, Emporia, KS (USA)","07 MAY 2022","1040","2022"
"8436","10.50","+1.8","Parker LOVE","","USA","1","Missouri S&T Allgood-Bailey Stadium, Rolla, MO (USA)","12 MAY 2022","1040","2022"
"8436","10.50","+1.7","Bryand RINCHER","","USA","4h3","Morris Williams T&F Stadium, Durham, NC (USA)","13 MAY 2022","1040","2022"
"8436","10.50","+0.1","Jeremiah STEED","","USA","1h1","Loras Finnegan Family Track, Dubuque, IA (USA)","13 MAY 2022","1040","2022"
"8436","10.50","+1.7","Luke FINNEGAN","","USA","4","Western Michigan University, Kalamazoo, MI (USA)","14 MAY 2022","1040","2022"
"8436","10.50","+1.0","Jayce GRAY","2004","USA","1","Grisham Stadium, Carrollton, GA (USA)","14 MAY 2022","1040","2022"
"8436","10.50","+1.2","Kamron MIKELL","","USA","3","Grisham Stadium, Carrollton, GA (USA)","14 MAY 2022","1040","2022"
"8436","10.50","+2.0","Jahari JONES","","USA","2","Paul Olson Track, Rock Island, IL (USA)","19 MAY 2022","1040","2022"
"8436","10.50","+1.4","Jax NORTH","","USA","8","Hilmer Lodge Stadium, Walnut, CA (USA)","21 MAY 2022","1040","2022"
"8436","10.50","+1.8","Yetian FAN","26 MAY 2000","CHN","3","Shanghai (CHN)","27 MAY 2022","1040","2022"
"8436","10.50","+1.1","Carter BIRADE","04 SEP 2003","CAN","1","Mount Tahoma Stadium, Tacoma, WA (USA)","28 MAY 2022","1040","2022"
"8436","10.50","0.0","Brandon HEREDIA","19 JUN 1999","MEX","1h3","Unidad Deportiva Bicentenario, Morelia (MEX)","03 JUN 2022","1040","2022"
"8436","10.50","-0.4","Takuma KOJIMA","24 MAY 2004","JPN","3h2","Yanmar Stadium Nagai, Osaka (JPN)","09 JUN 2022","1042","2022"
"8436","10.50","+1.6","Andreas TRAJKOVSKI","18 MAR 1993","MKD","3f1","Hvidovre Stadion, Hvidovre (DEN)","11 JUN 2022","1040","2022"
"8436","10.50","+1.8","Zachary PRICE","09 FEB 2002","GBR","2f1","Cardiff Athletic Stadium, Cardiff (GBR)","12 JUN 2022","1040","2022"
"8436","10.50","+1.9","Kareem SMALL","1999","JAM","2h2","National Stadium, Kingston (JAM)","23 JUN 2022","1040","2022"
"8436","10.50","+1.5","Mohammed AMINU","","GBR","1er9","Dagenham Arena, London (GBR)","03 JUL 2022","1040","2022"
"8436","10.50","+0.6","Maurice AFOGNON","12 JAN 2005","NED","3sf3","Givat Ram Stadium, Jerusalem (ISR)","05 JUL 2022","1040","2022"
"8436","10.50","+1.2","Erik ERLANDSSON","22 MAY 2004","SWE","2","Malmö Stadion, Malmö (SWE)","16 JUL 2022","1040","2022"
"8436","10.50","+1.2","Jaime MENDOZA","14 MAR 2003","ESP","1","Torrent (ESP)","16 JUL 2022","1040","2022"
"8436","10.50","+0.4","Samuel ROWE","1996","JAM","4","Provincial domain Huizingen, Huizingen (BEL)","23 JUL 2022","1040","2022"
"8436","10.50","+1.1","Rin MASUHARA","14 JUN 1990","JPN","2h2","Prefectural Stadium, Ise (JPN)","30 JUL 2022","1040","2022"
"8436","10.50","+0.4","Yuchen LIU","02 JUN 1999","CHN","5","Sichuan Xipu Training Base, Chengdu (CHN)","05 AUG 2022","1040","2022"
"8436","10.50","+1.4","Hide IKEFUCHI","15 MAY 2001","JPN","2f23","NITTAIDAI Athletic Stadium, Yokohama (JPN)","11 AUG 2022","1040","2022"
"8436","10.50","+1.4","Ibuki NAKAMURA","05 MAY 2000","JPN","3f23","NITTAIDAI Athletic Stadium, Yokohama (JPN)","11 AUG 2022","1040","2022"
"8436","10.50","+1.4","Futo TAKASU","05 SEP 2004","JPN","7","Prefectural Shizuoka Stadium, Fukuroi (JPN)","03 NOV 2022","1040","2022"
"8436","10.50","+0.7","Ba Kien NGUYEN","08 FEB 2003","VIE","2","Hanoi (VIE)","14 DEC 2022","1040","2022"
"8436","10.50","-0.3","Jaeschel JR ACHEAMPONG","","USA","1f2","UMiami Cobb Stadium, Coral Gables, FL (USA)","25 MAR 2023","1041","2023"
"8436","10.50","-1.3","Connor CZAJKOWSKI","","USA","1f7","Percy Beard Track, Gainesville, FL (USA)","15 APR 2023","1047","2023"
"8436","10.50","+0.8","Kyle NORMAN","24 APR 2000","RSA","3sf2","Mangaung Athletics Stadium, Bloemfontein (RSA)","05 MAY 2023","1040","2023"
"8436","10.50","+1.3","Christopher MURPHY","","USA","4h1","Memorial Stadium, Commerce, TX (USA)","05 MAY 2023","1040","2023"
"8436","10.50","+1.8","Jonah JOHNSON","","USA","1","Goodman TF Complex, Bethlehem, PA (USA)","06 MAY 2023","1040","2023"
"8436","10.50","-1.1","Collin FULLEN","","USA","4","Franklin Field, Philadelphia, PA (USA)","07 MAY 2023","1046","2023"
"8436","10.50","+1.8","Brendon HOYTE","1999","BAR","1h2","Concordia Sea Foam Stadium, St. Paul, MN (USA)","12 MAY 2023","1040","2023"
"8436","10.50","+1.2","DJ BLACK","19 FEB 2004","USA","6h1","LSU Bernie Moore Stadium, Baton Rouge, LA (USA)","12 MAY 2023","1040","2023"
"8436","10.50","+1.9","Deonte DEAN","","USA","2h1","Redbird T&F Complex, Normal, IL (USA)","13 MAY 2023","1040","2023"
"8436","10.50","+1.2","Hiroki KARASHIMA","20 MAR 1999","JPN","4f2","Honjo Athletic Stadium, Kitakyushu (JPN)","21 MAY 2023","1040","2023"
"8436","10.50","+1.5","Tobi OGUNKANMI","04 MAY 2001","GBR","1f3","London Marathon Community Track, London (GBR)","29 MAY 2023","1040","2023"
"8436","10.50","+1.0","Luban HAQUE","25 FEB 2005","GER","4","Universitätsstadion Am Biopark, Regensburg (GER)","03 JUN 2023","1040","2023"
"8436","10.50","+0.8","Sage PRIMUS","29 DEC 2000","VIN","2f6","Jamaica College Ashenheim Stadium, Kingston (JAM)","10 JUN 2023","1040","2023"
"8436","10.50","+0.6","Masataka YAMASHITA","24 DEC 2002","JPN","2h8","Nagaragawa Stadium, Gifu (JPN)","16 JUN 2023","1040","2023"
"8436","10.50","+0.9","Ryohei KANNO","18 OCT 2005","JPN","1","ND Soft Stadium, Tendo (JPN)","16 JUN 2023","1040","2023"
"8436","10.50","+0.4","Yan C. HERNÁNDEZ","20 JUN 2000","CUB","2ce","San Salvador (ESA)","03 JUL 2023","1040","2023"
"8436","10.50","+0.1","Jeremiah ADDERLEY","2005","BAH","4f1","T. Robinson Stadium, Nassau (BAH)","05 JUL 2023","1040","2023"
"8436","10.50","-0.3","Jesus Orphee TOPIZE","22 DEC 2005","MRI","2","Maryse Justin Stadium, Réduit (MRI)","08 JUL 2023","1041","2023"
"8436","10.50","+1.3","Samuele RIGNANESE","04 JUL 2003","ITA","3f5","Campo Comunale, Modena (ITA)","08 JUL 2023","1040","2023"
"8436","10.50","+2.0","Junior IMOUKHUEDE","2005","CAN","1f2","Strathcona Athletic Park, Sherwood Park (CAN)","08 JUL 2023","1040","2023"
"8436","10.50","+1.7","Manuel PALANCO","07 APR 1998","ESP","2","Polideportivo Zorrotza, Bilbao (ESP)","12 JUL 2023","1040","2023"
"8436","10.50","+0.5","Oliver COMOLI","25 AUG 2000","ITA","1h5","Campo Scuola G. Perraro, Vicenza (ITA)","08 AUG 2023","1040","2023"
"8436","10.50","+1.5","Tianzeng SHAO","16 MAR 2003","CHN","1h19","Athletics Field of Anhui Vocational and Technical College, Hefei (CHN)","10 AUG 2023","1040","2023"
"8436","10.50","+0.5","Nikhil SARJERAO","21 JUN 2002","IND","2sf2","Sree Kanteerava Outdoor Stadium, Bengaluru (IND)","11 OCT 2023","1040","2023"
"8436","10.50","+1.8","Shingo SUZUKI","29 NOV 2005","JPN","3h6","Prefectural Stadium, Kagoshima (JPN)","14 OCT 2023","1040","2023"
"8436","10.50","+1.7","Ryuki IWASAKI","13 AUG 2000","JPN","1er2","Konoike Athletics Stadium, Nara (JPN)","04 NOV 2023","1040","2023"
"8436","10.50","+1.9","Jamari HARTS","31 MAY 2004","USA","1f1","Tom Tellez Track, Houston, TX (USA)","14 MAR 2024","1040","2024"
"8436","10.50","+1.9","Gael ROMO","","USA","1f1","Tom Tellez Track, Houston, TX (USA)","14 MAR 2024","1040","2024"
"8436","10.50","+1.7","John GERBER","26 JUN 2001","NZL","2","Newtown Park Stadium, Wellington (NZL)","15 MAR 2024","1040","2024"
"8436","10.50","+0.6","Andrew BOND","","USA","1sf3","Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)","15 MAR 2024","1040","2024"
"8436","10.50","+1.8","Ali Ahmed ALI","12 JUL 2005","KSA","2","Prince Nayef Sports City, Qatif (KSA)","15 MAR 2024","1040","2024"
"8436","10.50","+1.3","Jarred CROSSMAN","05 JUN 2004","RSA","3h1","Pilditch Stadium, Pretoria (RSA)","21 MAR 2024","1040","2024"
"8436","10.50","+1.2","Temoso MASIKANE","26 APR 2006","RSA","3h5","Pilditch Stadium, Pretoria (RSA)","21 MAR 2024","1040","2024"
"8436","10.50","-2.1","Winfred PORTER","","USA","4f1","Paul Derr TF Facility, Raleigh, NC (USA)","29 MAR 2024","1052","2024"
"8436","10.50","+1.5","Ardell INLAY","","USA","5h5","Mike A. Myers Stadium, Austin, TX (USA)","29 MAR 2024","1040","2024"
"8436","10.50","+2.0","Daijiro MATSUMURA","09 MAY 2003","JPN","2","Expo '70 Stadium, Osaka (JPN)","04 APR 2024","1040","2024"
"8436","10.50","+0.2","Daniel ZOSA","10 NOV 1999","MEX","5","Centro Deportivo Olímpico Mexicano, Ciudad de México (MEX)","06 APR 2024","1040","2024"
"8436","10.50","+1.9","Bradley BOWLIN","","USA","4f3","UMiami Cobb Stadium, Coral Gables, FL (USA)","06 APR 2024","1040","2024"
"8436","10.50","+2.0","Baijing LI","02 MAY 2001","CHN","2h5","Zhaoqing Sports Center, Zhaoqing (CHN)","09 APR 2024","1040","2024"
"8436","10.50","+1.5","Qiwei CHEN","07 FEB 2004","CHN","2h13","Zhaoqing Sports Center, Zhaoqing (CHN)","09 APR 2024","1040","2024"
"8436","10.50","+0.5","Tahj JOHNSON","","USA","4f1","Demirjian Park, Champaign, IL (USA)","13 APR 2024","1040","2024"
"8436","10.50","+1.5","Tyler KLEIN","","USA","1f2","Gibson Track & Field Complex, Terre Haute, IN (USA)","20 APR 2024","1040","2024"
"8436","10.50","0.0","Enoch OKOH","","USA","2f1","Veterans Memorial Stadium, Clovis, CA (USA)","27 APR 2024","1040","2024"
"8436","10.50","+0.1","Ioannis VOSKOPOULOS","06 JUN 1998","GRE","1f1","Agios Kosmas Training Center, Elliniko, Athina (GRE)","27 APR 2024","1040","2024"
"8436","10.50","+1.4","Antonio PASSARELLI","","USA","4","GVSU Track/Lacrosse Stadium, Allendale, MI (USA)","03 MAY 2024","1040","2024"
"8436","10.50","-0.2","Fatek Adnan Awadh BAIT QISAN","18 MAY 1992","OMA","1f3","Dubai Police Club Stadium, Dubai (UAE)","03 MAY 2024","1041","2024"
"8436","10.50","+0.4","Wesley Henrique DIONISIO","20 JUL 2006","BRA","1f1","COTP Stadium, São Paulo (BRA)","04 MAY 2024","1040","2024"
"8436","10.50","0.0","Shun MIYASHITA","14 FEB 2005","JPN","4h3","National Stadium, Tokyo (JPN)","09 MAY 2024","1040","2024"
"8436","10.50","-1.0","Kade THOMPSON","","USA","2h1","Hal Wing T&F, Orem, UT (USA)","10 MAY 2024","1046","2024"
"8436","10.50","+1.8","Jordan BEAVERS","05 JUL 2001","GBR","1","Sports Village Track, Middlesbrough (GBR)","11 MAY 2024","1040","2024"
"8436","10.50","+1.7","Jaxon HAMMOND","","USA","1h1","George Mason-Rec. Sports Complex, Fairfax, VA (USA)","11 MAY 2024","1040","2024"
"8436","10.50","+1.3","Danil PAVLOV","17 JUN 2001","RUS","2h3","Slava Metreveli Stadium, Sochi (RUS)","21 MAY 2024","1040","2024"
"8436","10.50","+0.4","Milian ZIRBUS","03 MAY 2005","GER","1h2","Universitätsstadion Am Biopark, Regensburg (GER)","25 MAY 2024","1040","2024"
"8436","10.50","+1.9","Matyáš ZACH","30 SEP 2006","CZE","1f1","Městský stadion, Třinec (CZE)","08 JUN 2024","1040","2024"
"8436","10.50","+1.0","Le’ezra BROWN","2007","USA","2","Renton Memorial Stadium, Renton, WA (USA)","12 JUN 2024","1040","2024"
"8436","10.50","-0.3","Amir THOMPSON","","USA","2f2","Hayward Field, Eugene, OR (USA)","14 JUN 2024","1041","2024"
"8436","10.50","+0.7","Jakub SIKORSKI","01 SEP 2001","POL","1","Arena Lekkoatletyczna, Gliwice (POL)","15 JUN 2024","1040","2024"
"8797","10.51","","Porfirio VERAS","15 JUL 1943","DOM","5h2","Estadio Olímpico, Ciudad de México (MEX)","13 OCT 1968","1037","1968"
"8797","10.51","","Thomas WHATLEY","23 MAR 1953","USA","2h1","Moskva (URS)","16 AUG 1973","1037","1973"
"8797","10.51","0.0","Milan PETAKOVIĆ","05 JAN 1969","YUG","1","Zalaegerszeg (HUN)","28 JUN 1988","1037","1988"
"8797","10.51","+0.5","William CAMPBELL","","USA","7","Austin, TX (USA)","05 APR 1997","1037","1997"
"8797","10.51","+1.5","José Carlos NUNES PEREIRA","11 MAR 1971","BRA","3","Sâo Caetano do Sul (BRA)","14 MAR 1998","1037","1998"
"8797","10.51","0.0","Kenvatta HODGES","","USA","1","Savannah, GA (USA)","11 APR 1998","1037","1998"
"8797","10.51","+1.6","Derrick PORCHE","","USA","3","Baton Rouge, LA (USA)","09 MAY 1998","1037","1998"
"8797","10.51","0.0","Martin DAPUNT","02 SEP 1969","ITA","1","Borgo Valsugana (ITA)","23 MAY 1998","1037","1998"
"8797","10.51","+0.9","Tim DWIGHT","13 JUL 1975","USA","2","Columbus, OH (USA)","24 MAY 1998","1037","1998"
"8797","10.51","0.0","Krasimir PASKALEV","1978","BUL","3","Beograd (SRB)","06 JUN 1998","1037","1998"
"8797","10.51","-0.8","Ingo GIESEN","1978","GER","1","Warstein (GER)","10 JUN 1998","1041","1998"
"8797","10.51","+1.1","Ramon VARCOE","12 JUL 1972","AUS","10","Canberra (AUS)","06 FEB 1999","1037","1999"
"8797","10.51","-0.6","Jerry BISHOP","","USA","1","Emporia, KS (USA)","10 APR 1999","1040","1999"
"8797","10.51","0.0","Bobby ORRO","","USA","h","New Brunswick, NJ (USA)","17 APR 1999","1037","1999"
"8797","10.51","+1.2","Kenyon DOYLE","11 NOV 1979","USA","1","Johnson City, TN (USA)","24 APR 1999","1037","1999"
"8797","10.51","+1.2","Jeremie THOMAS","02 FEB 1976","USA","1","Fort Hayes (USA)","08 MAY 1999","1037","1999"
"8797","10.51","+1.7","Marshall FRAZIER","20 JUL 1977","USA","h","Carbondale, IL (USA)","17 MAY 1999","1037","1999"
"8797","10.51","+1.7","Gabriel BURNETT","20 SEP 1975","BAR","h","Emporia, KS (USA)","28 MAY 1999","1037","1999"
"8797","10.51","-0.1","Falk SCHRADER","26 APR 1977","GER","sf","Erfurt (GER)","03 JUL 1999","1037","1999"
"8797","10.51","+0.6","Paolo CHIAPPERINI","14 DEC 1969","ITA","5","Caorle (ITA)","10 JUL 1999","1037","1999"
"8797","10.51","-0.4","Brendon GHENT","07 SEP 1976","GBR","h","Birmingham (GBR)","23 JUL 1999","1039","1999"
"8797","10.51","0.0","Dimitrios KONTZOS","12 OCT 1980","GRE","1","Komotini (GRE)","24 JUL 1999","1037","1999"
"8797","10.51","-0.3","Vitaliy BORISENKO","18 SEP 1976","UKR","3","Belaya Tserkva (UKR)","24 JUL 1999","1038","1999"
"8797","10.51","0.0",". STANGE","","USA","2","Woodlands (USA)","20 APR 2000","1037","2000"
"8797","10.51","0.0","Vontez DUFF","","USA","3","Lubbock, TX (USA)","29 APR 2000","1037","2000"
"8797","10.51","0.0","Ryan GREAR","11 APR 1979","USA","6","Ann Arbor, MI (USA)","13 MAY 2000","1037","2000"
"8797","10.51","","Chauncey LANIER","","USA","5","Austin, TX (USA)","13 MAY 2000","1037","2000"
"8797","10.51","0.0","Erik TRÖGER","1979","GER","1","Riesa (GER)","03 JUN 2000","1037","2000"
"8797","10.51","+1.9","Piotr KOLASA","13 FEB 1976","POL","4","Biala Podlaska (POL)","17 JUN 2000","1037","2000"
"8797","10.51","+0.3","John SKEETE","08 SEP 1978","GBR","3","Brighton (GBR)","17 JUN 2000","1037","2000"
"8797","10.51","","Ruslan RUCIDE","","BUL","1","Sofia (BUL)","17 JUN 2000","1037","2000"
"8797","10.51","+0.7","Ruslan RUSIDZE","10 OCT 1973","GEO","4","Banská Bystrica (SVK)","08 JUL 2000","1037","2000"
"8797","10.51","","Ezra SAMBU","04 SEP 1978","KEN","1","Nairobi (KEN)","22 JUL 2000","1037","2000"
"8797","10.51","+1.8","Charles LEBROUSSA","1977","FRA","6","Angers (FRA)","29 JUL 2000","1037","2000"
"8797","10.51","+0.7","Olivier BORDERAN","20 FEB 1976","FRA","14","Montauban (FRA)","15 AUG 2000","1037","2000"
"8797","10.51","+0.5","Christofer SANDIN","13 OCT 1979","SWE","6","Vaasa (FIN)","23 JUN 2001","1037","2001"
"8797","10.51","+1.2","Gergely NAGY","09 JAN 1983","HUN","1","Debrecen (HUN)","26 JUN 2001","1037","2001"
"8797","10.51","+1.6","Kevin DILWORTH","14 FEB 1974","USA","2","Lubbock, TX (USA)","28 MAR 2002","1037","2002"
"8797","10.51","","Oscar KESNEL","","USA","5h","Petersburg, VA (USA)","20 APR 2002","1037","2002"
"8797","10.51","0.0","John WILLIAMS","","USA","1","Troy, AL (USA)","20 APR 2002","1037","2002"
"8797","10.51","-2.7","Nilson PALACIOS","24 DEC 1978","VEN","3","Maracaibo (VEN)","26 APR 2002","1053","2002"
"8797","10.51","","Sang-do KIM","14 APR 1971","KOR","1","Gimcheon (KOR)","30 APR 2002","1037","2002"
"8797","10.51","","Anthony MOORMAN","21 JUN 1979","USA","1","Champaign, IL (USA)","10 MAY 2002","1037","2002"
"8797","10.51","0.0","Jason ROLLER","27 AUG 1976","USA","10","Modesto, CA (USA)","11 MAY 2002","1037","2002"
"8797","10.51","+0.5","Joe HALL","","USA","2h3","New Orleans, LA (USA)","11 MAY 2002","1037","2002"
"8797","10.51","+1.7","Satoshi KITSUYA","17 JAN 1977","JPN","1h7","Tokyo (JPN)","16 MAY 2002","1037","2002"
"8797","10.51","+1.8","Ryan HOAG","","USA","3","St. Paul (USA)","25 MAY 2002","1037","2002"
"8797","10.51","+0.8","Denis KONDRATYEV","03 MAY 1983","KAZ","3","Manila (PHI)","26 MAY 2002","1037","2002"
"8797","10.51","","H. VAN KLAASEN","","RSA","5","Germiston (RSA)","18 JAN 2003","1037","2003"
"8797","10.51","+0.5","Rahim WOOLEY","03 MAY 1982","USA","1","Irvine, CA (USA)","15 MAR 2003","1037","2003"
"8797","10.51","","Tommie JEMERSON","","USA","1","Stephenville, TX (USA)","05 APR 2003","1037","2003"
"8797","10.51","+1.8","Clark SPANEL","","USA","3","Alamaosa (USA)","03 MAY 2003","1037","2003"
"8797","10.51","+0.9","Ricci DULA","04 SEP 1982","USA","7h","Los Angeles, CA (USA)","17 MAY 2003","1037","2003"
"8797","10.51","+1.3","Giannis POLITIS","06 JUN 1980","GRE","3","Valencia (ESP)","24 MAY 2003","1037","2003"
"8797","10.51","+1.1","Paul LEWIS","30 OCT 1977","USA","4","Atlanta, GA (USA)","07 JUN 2003","1037","2003"
"8797","10.51","+1.2","Frederic FAUCHERET","02 DEC 1981","FRA","1","Créteil (FRA)","14 JUN 2003","1037","2003"
"8797","10.51","","Andre Luiz RODRIGUES GOMES","01 JUN 1976","BRA","1","São Paulo (BRA)","06 JUL 2003","1037","2003"
"8797","10.51","+0.8","Daniel VAN LEEUWEN","18 MAR 1978","NED","2","Amsterdam (NED)","12 JUL 2003","1037","2003"
"8797","10.51","+0.8","Egoitz DIOS","01 MAR 1981","ESP","5h2","San Sebastián (ESP)","10 AUG 2003","1037","2003"
"8797","10.51","-0.5","Eric NECCIAI","","USA","1","Oordegem (BEL)","16 AUG 2003","1040","2003"
"8797","10.51","+1.1","Jayachander H. KUMAR","","IND","3","New Delhi (IND)","16 MAR 2004","1037","2004"
"8797","10.51","+1.9","Don WOOD","13 MAY 1985","BAH","3","Lynchburg, VA (USA)","06 MAY 2004","1037","2004"
"8797","10.51","+1.7","Ronald ROBERTSON","","USA","2","Moscow, ID (USA)","08 MAY 2004","1037","2004"
"8797","10.51","+0.7","Kenneth WADE","31 MAY 1983","USA","5","Louisville, KY (USA)","15 MAY 2004","1037","2004"
"8797","10.51","+0.3","Bill Kenneth JOHN","","DMA","3","Louisville, KY (USA)","28 MAY 2004","1037","2004"
"8797","10.51","+1.8","Ronnie DRUMMER","","USA","2h4","Sacramento, CA (USA)","04 JUN 2004","1037","2004"
"8797","10.51","+1.3","Kevin DEVINE","","USA","7h1","Provo, UT (USA)","25 JUN 2004","1037","2004"
"8797","10.51","+1.9","Ricardo THOMPSON","","USA","2","Bloomington, IN (USA)","02 JUL 2004","1037","2004"
"8797","10.51","+1.8","Víctor Manuel ROSAS","03 JUL 1980","ESP","7","Salamanca (ESP)","13 JUL 2004","1037","2004"
"8797","10.51","+0.5","Brent MOBLEY","","USA","3","Tallahassee, FL (USA)","09 APR 2005","1037","2005"
"8797","10.51","+1.3","Tony COLE","29 APR 1986","USA","5","Columbus, OH (USA)","15 MAY 2005","1037","2005"
"8797","10.51","+0.1","Duk hyung CHUN","08 AUG 1984","KOR","1","Daegu (KOR)","03 JUN 2005","1037","2005"
"8797","10.51","+0.3","Femi PETERS","","NGR","1h9","Abuja (NGR)","08 JUL 2005","1037","2005"
"8797","10.51","+0.3","Segun OLAITAN","","NGR","1h10","Abuja (NGR)","08 JUL 2005","1037","2005"
"8797","10.51","+1.6","James MORTIMER","01 MAR 1983","NZL","2","Brisbane (AUS)","04 MAR 2006","1037","2006"
"8797","10.51","+1.2","Jamar GLENN","","USA","4h1","Charlotte, NC (USA)","17 MAR 2006","1037","2006"
"8797","10.51","-0.8","Mark LATTIMORE","18 MAY 1985","USA","2","Berea, OH (USA)","29 APR 2006","1041","2006"
"8797","10.51","","Kelvin BUCKLEY","","USA","2h3","Itta Bena, MS (USA)","29 APR 2006","1037","2006"
"8797","10.51","+2.0","Skylor GREEN","12 SEP 1984","USA","1","Albuquerque, NM (USA)","03 JUN 2006","1037","2006"
"8797","10.51","+1.8","Aleksandr BYELOV","11 DEC 1980","RUS","6","Tula (RUS)","15 JUL 2006","1037","2006"
"8797","10.51","+1.7","Taweesak POOLTONG","07 JUL 1987","THA","2","Taipa (MAC)","17 JUL 2006","1037","2006"
"8797","10.51","","Seriashe CHILDS","02 SEP 1982","GBR","1h2","Glasgow (GBR)","12 AUG 2006","1037","2006"
"8797","10.51","+1.7","Yang PENG","03 JAN 1987","CHN","1h2","Guilin (CHN)","09 SEP 2006","1037","2006"
"8797","10.51","+1.9","Ihsan MCPHERSON","1984","USA","6h5","Lawrence, KS (USA)","21 APR 2007","1037","2007"
"8797","10.51","","Mark MORGAN","","USA","1","Springfield, MO (USA)","24 APR 2007","1037","2007"
